rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|KELLEYMD2,1.9395035386121613,11.0864320156968,10.915461550588592,-0.11015499614626212,0.4882422046521666,0,0,420B06|KELLEYMD,ESB
420B06|KYEAGLE2,3.656991120183271,9.298668160619327,8.549365210833862,0.06103638172759167,0.19326270850193195,0,0,420B06|KYEAGLE,ESB
420B06|LAKEBEV2,4.380093587029826,8.228257629236337,6.965558396994901,0.08741307070244467,0.15923153764591896,0,0,420B06|LAKEBEV,ESB
420B06|LEE2,35.488394788384184,44.699819166812254,35.488394788384184,0.12634511722915415,0.12634511722915415,0,0,420B06|LEE,ESB
420B06|LEGENDS2,-12.834704556443915,14.506953210241212,12.834704556443915,-1.106344312474098,1.106344312474098,-0,-0,420B06|LEGENDS,ESB
420B06|LOVELND2,-32.71299671725316,37.12041276559097,32.71299671725316,-0.6447708033313371,0.6447708033313371,-0,-0,420B06|LOVELND,ESB
420B06|MARSALA2,-4.004286993967615,4.416280281364456,4.004286993967615,-1.8236682035612848,1.8236682035612848,-0,-0,420B06|MARSALA,ESB
420B06|MBDNY2,-81.83696574585989,119.52174197031599,87.11003295332719,-6.410077034972484,6.585845941888061,-0,-0,420B06|MBDNY,ESB
420B06|MEMPHIS2,-11.214676784349926,11.464504996012266,11.214676784349926,-0.18540096957093696,0.18540096957093696,-0,-0,420B06|MEMPHIS,ESB
420B06|MITCHEL2,-18.002488597319655,18.09791079859266,18.002488597319655,-1e38,1e38,-0,-0,420B06|MITCHEL,ESB
420B06|MITCHMD2,8.449282495972614,15.233493150042383,12.675525190525203,0.09332774310933681,0.167472351785698,0,0,420B06|MITCHMD,ESB
420B06|MOCKLER2,13.924331243352322,16.7663873376292,13.924331243352322,0.32420416600350965,0.32420416600350965,0,0,420B06|MOCKLER,ESB
420B06|MONARCH2,-21.648942903024164,25.789650656338814,21.648942903024164,-0.10869870208154357,0.10869870208154357,-0,-0,420B06|MONARCH,ESB
