rownames,PredictGroup,PredictDate,PredictValue,PredictValue_StdPlus,PredictValue_StdMinus,PredictValue_StdPlus2,PredictValue_StdMinus2,PredictMessage
420B06|MONARCH132,420B06|MONARCH,2017-07-03,177.34958884138086,177.0518095819052,164.73621541295486,182.59401904552206,159.194005949338,XGB
65,420B06|MONARCH,2017-07-10,119.01708308309435,150.73501547604926,119.76588692004319,164.67160635493607,105.82929604115637,XGB
175,420B06|MONARCH,2017-07-17,101.58428382627017,129.48163061012937,102.2428904483426,141.73948852836594,89.98503253010604,XGB
285,420B06|MONARCH,2017-07-24,98.31719202302429,121.01124959517595,98.85295826325184,130.98282629969128,88.8813815587365,XGB
395,420B06|MONARCH,2017-07-31,103.91108545731049,111.26817763425257,104.08477328735657,114.50082163065237,100.85212929095677,XGB
505,420B06|MONARCH,2017-08-07,101.69039475307204,101.59176860551588,97.51277529386857,103.4273792162355,95.67716468314896,XGB
615,420B06|MONARCH,2017-08-14,90.19517057768167,97.7533673249275,90.37360612810264,101.07437496639328,87.05259848663685,XGB
725,420B06|MONARCH,2017-08-21,83.10062988641016,82.89032831200625,74.19264786236609,86.80442017296107,70.27855600141126,XGB
835,420B06|MONARCH,2017-08-28,81.22078976297666,81.1343861010937,77.56089197549363,82.74251419376922,75.9527638828181,XGB
945,420B06|MONARCH,2017-09-04,71.98337681527642,71.42769760369663,48.44584295744347,81.76989064486175,38.10364991627834,XGB
1055,420B06|MONARCH,2017-09-11,75.0132154711714,74.61964141557095,58.34215334357546,81.94476492962495,51.01702982952146,XGB
1165,420B06|MONARCH,2017-09-18,80.80223100544936,80.76707245111751,79.31298029076893,81.42143660289939,78.65861613898706,XGB
1275,420B06|MONARCH,2017-09-25,94.98982189840399,94.84565505609466,88.88318364144025,97.5288601899692,86.19997850756572,XGB
1385,420B06|MONARCH,2017-10-02,74.51507764818348,74.46139157278611,72.24103573510348,75.46058633086172,71.24184097702788,XGB
1495,420B06|MONARCH,2017-10-09,85.96147273275756,104.21162401628855,86.39232626812357,112.23058593238297,78.37336435202916,XGB
1605,420B06|MONARCH,2017-10-16,68.8693123495841,68.47669201294448,52.23864797641849,75.78406509582453,44.93127489353844,XGB
1715,420B06|MONARCH,2017-10-23,76.04353484737908,75.56888169856948,55.93811371947608,84.40303347226923,47.103961945776334,XGB
420B06|MONTCO53,420B06|MONTCO,2015-12-28,0.03347508766262308,0.04418981398744562,0.03372804324889786,0.04889777399310658,0.029020083243236898,XGB
420B06|MONTCO54,420B06|MONTCO,2016-01-04,0.03347508766262308,0.041860515659778316,0.03367305266806343,0.04554500170675259,0.029988566621089157,XGB
420B06|MONTCO55,420B06|MONTCO,2016-01-11,0.03347508766262308,0.041860515659778316,0.03367305266806343,0.04554500170675259,0.029988566621089157,XGB
420B06|MONTCO56,420B06|MONTCO,2016-01-18,0.03347508766262308,0.041860515659778316,0.03367305266806343,0.04554500170675259,0.029988566621089157,XGB
420B06|MONTCO57,420B06|MONTCO,2016-01-25,0.03347508766262308,0.041860515659778316,0.03367305266806343,0.04554500170675259,0.029988566621089157,XGB
420B06|MONTCO58,420B06|MONTCO,2016-02-01,0.03538250196322679,0.04190450773637108,0.03553647489207437,0.044770221839168,0.032670760789277456,XGB
420B06|MONTCO59,420B06|MONTCO,2016-02-08,0.038243630235456294,0.04197049600858537,0.03833161489208959,0.043608049267011596,0.036694061633663365,XGB
420B06|MONTCO60,420B06|MONTCO,2016-02-15,0.038243630235456294,0.04197049600858537,0.03833161489208959,0.043608049267011596,0.036694061633663365,XGB
420B06|MONTCO61,420B06|MONTCO,2016-02-22,0.04301219554645286,0.04301219554645286,0.04301219554645286,0.04301219554645286,0.04301219554645286,XGB
420B06|MONTCO62,420B06|MONTCO,2016-02-29,0.04301219554645286,0.043943915099716006,0.04303419178403229,0.04435330478082183,0.04262480210292647,XGB
420B06|MONTCO63,420B06|MONTCO,2016-03-07,0.04301219554645286,0.043943915099716006,0.04303419178403229,0.04435330478082183,0.04262480210292647,XGB
420B06|MONTCO64,420B06|MONTCO,2016-03-14,0.04301219554645286,0.04440977520948644,0.043045189910686815,0.04502385987752356,0.042431105242649696,XGB
420B06|MONTCO65,420B06|MONTCO,2016-03-21,0.04301219554645286,0.04440977520948644,0.043045189910686815,0.04502385987752356,0.042431105242649696,XGB
420B06|MONTCO66,420B06|MONTCO,2016-03-28,0.04301219554645286,0.04440977520948644,0.043045189910686815,0.04502385987752356,0.042431105242649696,XGB
420B06|MONTCO67,420B06|MONTCO,2016-04-04,0.04348905332813047,0.04488663365766389,0.043522047708099296,0.0455007186185554,0.04290796274720779,XGB
420B06|MONTCO68,420B06|MONTCO,2016-04-11,0.04301219554645286,0.044875635541497524,0.04305618804258805,0.04569441529411661,0.04223740828996897,XGB
420B06|MONTCO69,420B06|MONTCO,2016-04-18,0.04301219554645286,0.04347805521196411,0.04302319366261922,0.043682750003691685,0.04281849887089164,XGB
420B06|MONTCO70,420B06|MONTCO,2016-04-25,0.04301219554645286,0.04347805521196411,0.04302319366261922,0.043682750003691685,0.04281849887089164,XGB
420B06|MONTCO71,420B06|MONTCO,2016-05-02,0.04301219554645286,0.04347805521196411,0.04302319366261922,0.043682750003691685,0.04281849887089164,XGB
420B06|MONTCO72,420B06|MONTCO,2016-05-09,0.04348905332813047,0.0433350801790235,0.03696703822521012,0.046200798381245,0.03410132002298862,XGB
420B06|MONTCO73,420B06|MONTCO,2016-05-16,0.04348905332813047,0.0433350801790235,0.03696703822521012,0.046200798381245,0.03410132002298862,XGB
420B06|MONTCO74,420B06|MONTCO,2016-05-23,0.042535337992148925,0.05557948637637463,0.04284328708034383,0.061310974707399164,0.037111798749319296,XGB
420B06|MONTCO75,420B06|MONTCO,2016-05-30,0.040627910048669946,0.055535493985126354,0.04097985152811313,0.062085760116635136,0.034429585396604345,XGB
420B06|MONTCO76,420B06|MONTCO,2016-06-06,0.040627910048669946,0.055535493985126354,0.04097985152811313,0.062085760116635136,0.034429585396604345,XGB
420B06|MONTCO77,420B06|MONTCO,2016-06-13,0.040627910048669946,0.04004501878608348,0.015937724519579075,0.0508936772099592,0.005089066095703355,XGB
420B06|MONTCO78,420B06|MONTCO,2016-06-20,0.034428794358177583,0.03395588438311274,0.014397210815309387,0.042757592547268006,0.005595502651154119,XGB
420B06|MONTCO79,420B06|MONTCO,2016-06-27,0.15221856384710009,0.1487078369339783,0.003510726913121792,0.21404880109762606,-0.06183023725052597,XGB
420B06|MONTCO80,420B06|MONTCO,2016-07-04,0.09069909928336983,0.08860724030899483,0.0020918589743750063,0.12754051129887678,-0.03684141201550696,XGB
420B06|MONTCO81,420B06|MONTCO,2016-07-11,0.08593030658403222,0.08406062282321917,0.006733993483774528,0.11885881209736214,-0.028064195790368437,XGB
420B06|MONTCO82,420B06|MONTCO,2016-07-18,0.4202777546454399,0.4105845845948919,0.009693170050548011,0.5909919738844815,-0.17071421923904162,XGB
